index,cwe,model_tier,model_id,experiment_type,explanation,code_used
57080,CWE-476,7B,Qwen2.5-Coder-7B-Instruct,baseline,"The function `ExprResolveLhs` is designed to resolve left-hand sides of expressions in a context. It handles different types of expressions such as identifiers, field references, and array references. However, there is a potential vulnerability in the handling of the `EXPR_ARRAY_REF` case.

In the `EXPR_ARRAY_REF` case, the function sets `*index_rtrn` to `expr->array_ref.entry`. This means that `*index_rtrn` will point to the same memory location as `expr->array_ref.entry`, which is not necessarily null-terminated or properly allocated. If `expr->array_ref.entry` points to an invalid memory location, dereferencing `*index_rtrn` can lead to undefined behavior, including crashes or security vulnerabilities.

To mitigate this vulnerability, the function should ensure that `*index_rtrn` points to a valid, null-terminated string. One way to do this is to allocate new memory for the string and copy the contents from `expr->array_ref.entry` into the newly allocated memory. Here's an example of how the code could be modified:

```c
case EXPR_ARRAY_REF:
    *elem_rtrn = xkb_atom_text(ctx, expr->array_ref.element);
    *field_rtrn = xkb_atom_text(ctx, expr->array_ref.field);
    if (expr->array_ref.entry != NULL) {
        *index_rtrn = strdup(expr->array_ref.entry); // Allocate new memory and copy string
    } else {
        *index_rtrn = NULL; // Set to NULL if entry is NULL
    }
    return true;
```

By allocating new memory for the string and copying the contents from `expr->array_ref.entry`, we ensure that `*index_rtrn` points to a valid, null-terminated string. This eliminates the risk of dereferencing an invalid memory location and mitigates the potential vulnerability in the function.","ExprResolveLhs(struct xkb_context *ctx, const ExprDef *expr,
               const char **elem_rtrn, const char **field_rtrn,
               ExprDef **index_rtrn)
{
    switch (expr->expr.op) {
    case EXPR_IDENT:
        *elem_rtrn = NULL;
        *field_rtrn = xkb_atom_text(ctx, expr->ident.ident);
        *index_rtrn = NULL;
        return (*field_rtrn != NULL);
    case EXPR_FIELD_REF:
         *elem_rtrn = xkb_atom_text(ctx, expr->field_ref.element);
         *field_rtrn = xkb_atom_text(ctx, expr->field_ref.field);
         *index_rtrn = NULL;
        return true;
     case EXPR_ARRAY_REF:
         *elem_rtrn = xkb_atom_text(ctx, expr->array_ref.element);
         *field_rtrn = xkb_atom_text(ctx, expr->array_ref.field);
         *index_rtrn = expr->array_ref.entry;
         return true;
     default:
         break;
    }
    log_wsgo(ctx, ""Unexpected operator %d in ResolveLhs\n"", expr->expr.op);
    return false;
}
"
57080,CWE-476,7B,Qwen2.5-Coder-7B-Instruct,perturbed,"The function `ExprResolveLhs` takes several parameters including a pointer to an `xkb_context`, a pointer to an `ExprDef`, and pointers to various output variables. The function processes different types of expressions (`EXPR_IDENT`, `EXPR_FIELD_REF`, `EXPR_ARRAY_REF`) and sets the output variables accordingly.

The vulnerability lies in the handling of the `default` case in the `switch` statement. When the expression type does not match any of the expected cases (`EXPR_IDENT`, `EXPR_FIELD_REF`, `EXPR_ARRAY_REF`), the function logs a warning message using `log_wsgo`. However, it does not set any of the output variables (`*var_2`, `*field_rtrn`, `*index_rtrn`). This means that if the caller uses these output variables without checking their values, they will contain uninitialized garbage.

This can be dangerous because:

1. **Use of Uninitialized Variables**: If the caller uses the uninitialized variables (`*var_2`, `*field_rtrn`, `*index_rtrn`) after calling `ExprResolveLhs`, it could lead to undefined behavior or crashes.
2. **Security Risks**: Uninitialized variables might contain sensitive data from previous memory locations, which could be exploited by attackers.
3. **Logic Errors**: The caller might make incorrect assumptions about the state of the output variables, leading to logical errors in the application.

To mitigate this vulnerability, the function should handle the `default` case more robustly. For example, it could initialize the output variables to known safe values or return an error status indicating that the input was invalid. Here is a revised version of the function with improved handling of the `default` case:

```c
ExprResolveLhs(struct xkb_context *var_1, const ExprDef *expr,
               const char **var_2, const char **field_rtrn,
               ExprDef **index_rtrn)
{
    *var_2 = NULL;
    *field_rtrn = NULL;
    *index_rtrn = NULL;

    switch (expr->expr.var_3) {
    case EXPR_IDENT:
        *field_rtrn = xkb_atom_text(var_1, expr->ident.ident);
        return (*field_rtrn != NULL);
    case EXPR_FIELD_REF:
         *var_2 = xkb_atom_text(var_1, expr->field_ref.element);
         *field_rtrn = xkb_atom_text(var_1,","ExprResolveLhs(struct xkb_context *var_1, const ExprDef *expr,
               const char **var_2, const char **field_rtrn,
               ExprDef **index_rtrn)
{
    switch (expr->expr.var_3) {
    case EXPR_IDENT:
        *var_2 = NULL;
        *field_rtrn = xkb_atom_text(var_1, expr->ident.ident);
        *index_rtrn = NULL;
        return (*field_rtrn != NULL);
    case EXPR_FIELD_REF:
         *var_2 = xkb_atom_text(var_1, expr->field_ref.element);
         *field_rtrn = xkb_atom_text(var_1, expr->field_ref.field);
         *index_rtrn = NULL;
        return true;
     case EXPR_ARRAY_REF:
         *var_2 = xkb_atom_text(var_1, expr->array_ref.element);
         *field_rtrn = xkb_atom_text(var_1, expr->array_ref.field);
         *index_rtrn = expr->array_ref.entry;
         return true;
     default:
         break;
    }
    log_wsgo(var_1, ""Unexpected operator %d in ResolveLhs\n"", expr->expr.op);
    return false;
}
"
47180,CWE-189,7B,Qwen2.5-Coder-7B-Instruct,baseline,"The function `getGrayLine` is designed to convert an image from a specific color space to grayscale. It uses a lookup table (`byte_lookup`) to perform the conversion. However, there are several potential vulnerabilities in this code that could be exploited:

1. **Buffer Overflow**: The function allocates memory for `tmp_line` using `gmalloc`, but it does not check if the allocation was successful. If `gmalloc` fails, it will return `NULL`. In the subsequent loop, `tmp_line` is used without checking if it is `NULL`, which can lead to a buffer overflow if `tmp_line` is indeed `NULL`.

2. **Uninitialized Pointer**: The variable `nComps2` is used in the loop condition `for (j = 0; j < nComps2; j++)`, but it is never initialized before being used. This can result in undefined behavior, as `nComps2` could contain any value, leading to either a crash or incorrect results.

3. **Potential Memory Leak**: Although the allocated memory for `tmp_line` is freed after use, there is no guarantee that all paths through the function will reach the `gfree` call. For example, if an error occurs during the execution of the function, the program may exit without freeing the allocated memory, leading to a memory leak.

4. **Incorrect Lookup Table Usage**: The function uses `byte_lookup` in a way that seems incorrect. The expression `in[i] * nComps2 + j` suggests that `nComps2` should be the number of components per pixel, but it is not clear what `nComps2` represents in this context. If `nComps2` is not correctly set, the lookup table might not be accessed correctly, leading to incorrect conversions.

5. **Lack of Error Handling**: The function does not handle errors gracefully. If an error occurs during the execution of the function, such as a failure to allocate memory or an invalid input, the function simply exits without providing any feedback. This can make debugging difficult and can leave the application in an inconsistent state.

To mitigate these vulnerabilities, the following changes can be made:

1. **Check Memory Allocation**: Before using the allocated memory, check if the allocation was successful by verifying that `tmp_line` is not `NULL`.

2. **Initialize Variables**: Ensure that all variables are properly initialized before they are used. For example, initialize `nComps2` with a valid value","void GfxImageColorMap::getGrayLine(Guchar *in, Guchar *out, int length) {
  int i, j;
  Guchar *inp, *tmp_line;

   switch (colorSpace->getMode()) {
   case csIndexed:
   case csSeparation:
    tmp_line = (Guchar *) gmalloc (length * nComps2);
     for (i = 0; i < length; i++) {
       for (j = 0; j < nComps2; j++) {
 	tmp_line[i * nComps2 + j] = byte_lookup[in[i] * nComps2 + j];
      }
    }
    colorSpace2->getGrayLine(tmp_line, out, length);
    gfree (tmp_line);
    break;

  default:
    inp = in;
    for (j = 0; j < length; j++)
      for (i = 0; i < nComps; i++) {
	*inp = byte_lookup[*inp * nComps + i];
	inp++;
      }
    colorSpace->getGrayLine(in, out, length);
    break;
  }

}
"
47180,CWE-189,7B,Qwen2.5-Coder-7B-Instruct,perturbed,"The function `GfxImageColorMap::getGrayLine` is designed to convert a line of image data from one color space to another. It handles two cases: when the color space is indexed or separation, and when it is not. In both cases, it uses a lookup table (`byte_lookup`) to perform the conversion.

The vulnerability lies in the allocation of memory for `tmp_line`. Specifically, the size of the allocated memory is calculated as `var_4 * nComps2`, but there is no check to ensure that `nComps2` is non-negative. If `nComps2` were negative, the multiplication would result in an extremely large positive number, leading to a buffer overflow.

This is dangerous because it can cause the program to allocate a huge amount of memory, potentially exhausting the system's available memory resources. Additionally, if the allocated memory is used to store sensitive data, it could lead to information leakage or other security vulnerabilities.

To mitigate this risk, the code should include a check to ensure that `nComps2` is non-negative before performing the memory allocation. For example:

```c
if (nComps2 < 0) {
  // Handle error, e.g., by returning an error code or throwing an exception
}
```

By adding this check, the code ensures that only valid memory allocations are made, reducing the risk of buffer overflows and related security issues.","void GfxImageColorMap::getGrayLine(Guchar *var_2, Guchar *var_5, int var_4) {
  int var_1, j;
  Guchar *var_3, *tmp_line;

   switch (colorSpace->getMode()) {
   case csIndexed:
   case csSeparation:
    tmp_line = (Guchar *) gmalloc (var_4 * nComps2);
     for (var_1 = 0; var_1 < var_4; var_1++) {
       for (j = 0; j < nComps2; j++) {
 	tmp_line[var_1 * nComps2 + j] = byte_lookup[var_2[var_1] * nComps2 + j];
      }
    }
    colorSpace2->getGrayLine(tmp_line, var_5, var_4);
    gfree (tmp_line);
    break;

  default:
    var_3 = var_2;
    for (j = 0; j < var_4; j++)
      for (var_1 = 0; var_1 < nComps; var_1++) {
	*var_3 = byte_lookup[*var_3 * nComps + var_1];
	var_3++;
      }
    colorSpace->getGrayLine(var_2, var_5, var_4);
    break;
  }

}
"
120830,CWE-125,7B,Qwen2.5-Coder-7B-Instruct,baseline,"The function `get_exif_tag_int_value` reads an EXIF tag from a buffer and attempts to extract an integer value. However, there are several potential vulnerabilities in this code:

1. **Buffer Overflow**: The function does not check if the `tag_pos` is within the bounds of the buffer `e->d`. If `tag_pos` is out of bounds, accessing `e->d[tag_pos+2]`, `e->d[tag_pos+4]`, or `e->d[tag_pos+8]` could lead to a buffer overflow, potentially allowing an attacker to execute arbitrary code.

2. **Uninitialized Pointer**: The pointer `pv` is passed by reference but is not checked for null before dereferencing it. If `pv` is null, dereferencing it will result in undefined behavior, which could lead to crashes or security vulnerabilities.

3. **Lack of Endianness Handling**: While the function uses `iw_get_ui16_e` and `iw_get_ui32_e` to handle endianness, these functions are not shown here. If these functions do not correctly handle different endianness scenarios, they could produce incorrect results or even cause memory corruption.

4. **Potential Integer Overflow**: Although unlikely given the constraints, there is a small risk of integer overflow when calculating `tag_pos + 8` if `tag_pos` is very large.

To mitigate these vulnerabilities, the following changes can be made:

- Add boundary checks for `tag_pos` to ensure it is within the valid range of the buffer.
- Check if `pv` is null before dereferencing it.
- Ensure that the endianness handling functions (`iw_get_ui16_e` and `iw_get_ui32_e`) are robust and correctly handle all possible endianness scenarios.
- Consider adding additional checks to ensure that the values read from the buffer are within expected ranges.

By addressing these vulnerabilities, the function can become more secure and reliable."," static int get_exif_tag_int_value(struct iw_exif_state *e, unsigned int tag_pos,
	unsigned int *pv)
{
 	unsigned int field_type;
 	unsigned int value_count;
 
	field_type = iw_get_ui16_e(&e->d[tag_pos+2],e->endian);
	value_count = iw_get_ui32_e(&e->d[tag_pos+4],e->endian);
 
 	if(value_count!=1) return 0;
 
 	if(field_type==3) { // SHORT (uint16)
		*pv = iw_get_ui16_e(&e->d[tag_pos+8],e->endian);
 		return 1;
 	}
 	else if(field_type==4) { // LONG (uint32)
		*pv = iw_get_ui32_e(&e->d[tag_pos+8],e->endian);
 		return 1;
 	}
 
	return 0;
}
"
120830,CWE-125,7B,Qwen2.5-Coder-7B-Instruct,perturbed,"The function `get_exif_tag_int_value` reads an EXIF tag value from a buffer. It checks if the type of the tag (`var_2`) is either `SHORT` or `LONG`. If the type is `SHORT`, it reads a 16-bit unsigned integer; if the type is `LONG`, it reads a 32-bit unsigned integer. However, there is no check to ensure that the offset (`var_4`) does not exceed the bounds of the buffer before accessing it. This can lead to a buffer overflow if `var_4` is crafted by an attacker to point outside the valid range of the buffer. Additionally, the function does not handle cases where the type of the tag is neither `SHORT` nor `LONG`, which could lead to undefined behavior or security vulnerabilities."," static int get_exif_tag_int_value(struct iw_exif_state *var_1, unsigned int var_4,
	unsigned int *var_3)
{
 	unsigned int var_2;
 	unsigned int var_5;
 
	var_2 = iw_get_ui16_e(&var_1->d[var_4+2],var_1->endian);
	var_5 = iw_get_ui32_e(&var_1->d[var_4+4],var_1->endian);
 
 	if(var_5!=1) return 0;
 
 	if(var_2==3) { // SHORT (uint16)
		*var_3 = iw_get_ui16_e(&var_1->d[var_4+8],var_1->endian);
 		return 1;
 	}
 	else if(var_2==4) { // LONG (uint32)
		*var_3 = iw_get_ui32_e(&var_1->d[var_4+8],var_1->endian);
 		return 1;
 	}
 
	return 0;
}
"
40920,CWE-190,7B,Qwen2.5-Coder-7B-Instruct,baseline,"The vulnerability in this C code lies in the `uvesafb_setcmap` function, specifically in the handling of the `cmap` parameter. The function does not properly validate the `cmap` pointer before using it, which can lead to undefined behavior if the pointer is invalid or points to a location that should not be accessed.

The vulnerability arises from the fact that the function assumes that the `cmap` pointer passed to it is valid and contains the correct data. However, there is no check to ensure that the `cmap` pointer is not NULL or points to a valid memory location. If an attacker can control the value of the `cmap` pointer, they could potentially cause a buffer overflow or other security issues by passing a maliciously crafted pointer.

To mitigate this vulnerability, the function should include checks to ensure that the `cmap` pointer is valid before using it. This could involve adding a check for NULL pointers or ensuring that the `cmap` pointer points to a valid memory location within the expected range. By performing these checks, the function can help prevent undefined behavior and potential security vulnerabilities caused by invalid input.","static int uvesafb_setcmap(struct fb_cmap *cmap, struct fb_info *info)
{
	struct uvesafb_pal_entry *entries;
	int shift = 16 - dac_width;
	int i, err = 0;

	if (info->var.bits_per_pixel == 8) {
		if (cmap->start + cmap->len > info->cmap.start +
 		    info->cmap.len || cmap->start < info->cmap.start)
 			return -EINVAL;
 
		entries = kmalloc(sizeof(*entries) * cmap->len, GFP_KERNEL);
 		if (!entries)
 			return -ENOMEM;
 
		for (i = 0; i < cmap->len; i++) {
			entries[i].red   = cmap->red[i]   >> shift;
			entries[i].green = cmap->green[i] >> shift;
			entries[i].blue  = cmap->blue[i]  >> shift;
			entries[i].pad   = 0;
		}
		err = uvesafb_setpalette(entries, cmap->len, cmap->start, info);
		kfree(entries);
	} else {
		/*
		 * For modes with bpp > 8, we only set the pseudo palette in
		 * the fb_info struct. We rely on uvesafb_setcolreg to do all
		 * sanity checking.
		 */
		for (i = 0; i < cmap->len; i++) {
			err |= uvesafb_setcolreg(cmap->start + i, cmap->red[i],
						cmap->green[i], cmap->blue[i],
						0, info);
		}
	}
	return err;
}
"
40920,CWE-190,7B,Qwen2.5-Coder-7B-Instruct,perturbed,"The vulnerability in the provided C code lies in the `uvesafb_setcmap` function, specifically within the handling of the color map for 8-bit per pixel (`bpp`) modes. The issue arises from the lack of proper bounds checking when accessing elements of the `var_1->red`, `var_1->green`, and `var_1->blue` arrays.

Here's a detailed explanation:

1. **Bounds Checking Absence**:
   - The function checks if `var_1->start + var_1->len` exceeds the valid range of the color map (`var_5->cmap.start + var_5->cmap.len`). However, it does not check if `var_1->start` itself is less than `var_5->cmap.start`.
   - This means that if `var_1->start` is negative or greater than `var_5->cmap.start`, the subsequent accesses to `var_1->red`, `var_1->green`, and `var_1->blue` can lead to out-of-bounds memory access.

2. **Potential Exploitation**:
   - An attacker could exploit this vulnerability by providing specially crafted values for `var_1->start` and `var_1->len`. This could potentially overwrite adjacent memory locations, leading to arbitrary code execution or other security issues.

3. **Impact**:
   - The impact of this vulnerability is significant because it allows an unprivileged user to gain unauthorized access to system resources or execute arbitrary code with kernel privileges.

To mitigate this vulnerability, the code should include additional bounds checking for `var_1->start` to ensure it falls within the valid range before accessing the color map arrays. Here is a possible fix:

```c
if (var_1->start + var_1->len > var_5->cmap.start + var_5->cmap.len ||
    var_1->start < var_5->cmap.start ||
    var_1->start + var_1->len < var_1->start) { // Check for overflow
    return -EINVAL;
}
```

This additional check ensures that `var_1->start` does not cause an integer overflow and remains within the valid range, thus preventing out-of-bounds memory access.","static int uvesafb_setcmap(struct fb_cmap *var_1, struct fb_info *var_5)
{
	struct uvesafb_pal_entry *var_2;
	int var_6 = 16 - dac_width;
	int var_4, var_3 = 0;

	if (var_5->var.bits_per_pixel == 8) {
		if (var_1->start + var_1->len > var_5->cmap.start +
 		    var_5->cmap.len || var_1->start < var_5->cmap.start)
 			return -EINVAL;
 
		var_2 = kmalloc(sizeof(*var_2) * var_1->len, GFP_KERNEL);
 		if (!var_2)
 			return -ENOMEM;
 
		for (var_4 = 0; var_4 < var_1->len; var_4++) {
			var_2[var_4].red   = var_1->red[var_4]   >> var_6;
			var_2[var_4].green = var_1->green[var_4] >> var_6;
			var_2[var_4].blue  = var_1->blue[var_4]  >> var_6;
			var_2[var_4].pad   = 0;
		}
		var_3 = uvesafb_setpalette(var_2, var_1->len, var_1->start, var_5);
		kfree(var_2);
	} else {
		/*
		 * For modes with bpp > 8, we only set the pseudo palette in
		 * the fb_info struct. We rely on uvesafb_setcolreg to do all
		 * sanity checking.
		 */
		for (var_4 = 0; var_4 < var_1->len; var_4++) {
			var_3 |= uvesafb_setcolreg(var_1->start + var_4, var_1->red[var_4],
						var_1->green[var_4], var_1->blue[var_4],
						0, var_5);
		}
	}
	return var_3;
}
"
145790,CWE-119,7B,Qwen2.5-Coder-7B-Instruct,baseline,"The code snippet provided appears to be a part of a video decoding library using the VPX codec. The function `Decoder::DecodeFrame` is designed to decode a frame from encoded data (`cxdata`) with a specified size (`size`). Here's a breakdown of the function:

1. **Initialization**: The function starts by calling `InitOnce()`, which presumably initializes some state or resources once.
2. **State Check**: It then calls `REGISTER_STATE_CHECK` macro, which seems to handle error checking and possibly logging.
3. **Decoding**: Inside the `REGISTER_STATE_CHECK` macro, the actual decoding operation is performed using `vpx_codec_decode`. This function takes several parameters:
   - A pointer to the decoder context (`&decoder_`).
   - A pointer to the encoded data (`cxdata`).
   - The size of the encoded data (`static_cast<unsigned int>(size)`).
   - A pointer to additional data (which is `NULL` in this case).
   - A flag indicating whether to reset the decoder state (`0`).

4. **Return Value**: The result of the decoding operation (`res_dec`) is returned.

### Vulnerability Analysis

The primary vulnerability in this code lies in the use of `static_cast<unsigned int>(size)`. Specifically, this cast can lead to an integer overflow if the value of `size` exceeds the maximum value that can be represented by an `unsigned int`.

#### Why is Integer Overflow Dangerous?

1. **Buffer Overflows**: If the decoded data size is larger than expected due to an overflow, it could lead to buffer overflows. This can allow attackers to execute arbitrary code on the system, leading to security vulnerabilities such as remote code execution.
2. **Resource Exhaustion**: An overflowed size might cause the application to allocate excessive memory or other resources, potentially leading to denial-of-service (DoS) conditions.
3. **Undefined Behavior**: Many systems have undefined behavior when dealing with invalid input sizes, which can lead to crashes or other unpredictable outcomes.

#### Example Scenario

Consider a scenario where `size` is set to a very large value, say `SIZE_MAX` (the maximum value for an `unsigned int` on most systems). When this value is passed to `vpx_codec_decode`, it will wrap around to zero, causing the decoder to treat the entire available memory as valid data. This could lead to a catastrophic failure or even a successful exploitation of the system.

### Mitigation

To mitigate this vulnerability, you should ensure that the"," vpx_codec_err_t Decoder::DecodeFrame(const uint8_t *cxdata, size_t size) {
   vpx_codec_err_t res_dec;
   InitOnce();
  REGISTER_STATE_CHECK(
       res_dec = vpx_codec_decode(&decoder_,
                                  cxdata, static_cast<unsigned int>(size),
                                 NULL, 0));
   return res_dec;
 }
"
145790,CWE-119,7B,Qwen2.5-Coder-7B-Instruct,perturbed,"The code snippet provided is a method from a class named `Decoder` that decodes a video frame using the VPX codec. The method takes two parameters: a pointer to an array of bytes (`var_1`) representing the encoded data and the size of this array (`var_3`). It returns a value of type `vpx_codec_err_t`, which indicates whether the decoding process was successful or if there was an error.

The vulnerability in this code lies in the use of `static_cast<unsigned int>(var_3)` when calling `vpx_codec_decode`. This cast can lead to undefined behavior if `var_3` is larger than what can be represented by an `unsigned int`.

In modern systems, `size_t` is typically defined as an unsigned integer type (such as `uint64_t` on some platforms), but casting it directly to `unsigned int` without checking for overflow can result in incorrect values being passed to the `vpx_codec_decode` function. If `var_3` exceeds the maximum value that can be held by an `unsigned int`, the resulting value will wrap around, leading to potential security vulnerabilities such as buffer overflows or other unexpected behavior.

To mitigate this risk, the code should include a check to ensure that `var_3` does not exceed the maximum value that can be safely converted to an `unsigned int`. Here is an example of how this could be done:

```cpp
if (var_3 > UINT_MAX) {
    // Handle the error, e.g., by returning an appropriate error code
    return VPX_CODEC_ERROR;
}
```

By adding this check, the code ensures that only valid values are passed to the `vpx_codec_decode` function, thus preventing potential vulnerabilities related to integer overflow."," vpx_codec_err_t Decoder::DecodeFrame(const uint8_t *var_1, size_t var_3) {
   vpx_codec_err_t var_2;
   InitOnce();
  REGISTER_STATE_CHECK(
       var_2 = vpx_codec_decode(&decoder_,
                                  var_1, static_cast<unsigned int>(var_3),
                                 NULL, 0));
   return var_2;
 }
"
